Polling Firm,Last Date of Polling,PC,NDP,Liberal,Green,Other,Margin of Error,Sample Size,Polling Type,Lead
Angus Reid,2024-03-06,37,25,27,6,4,3.0,777,Online,10
Abacus Data,2024-02-21,41,19,27,8,5,3.1,1000,Online,14
Pallas Data,2024-02-11,34.5,21.6,31.6,7.3,5,2.9,1121,IVR,2.9
Liaison Strategies,2024-02-03,38,22,30,5,5,2.8,1236,IVR,8
Abacus Data,2024-01-23,38,23,27,5,6,3.1,995,Online,11
Abacus Data,2023-12-12,39,24,27,6,4,3.1,1000,Online,12
Mainstreet Research,2023-12-04,36,19,34,6,5,3.3,872,Smart IVR,2
Abacus Data,2023-11-28,42,24,23,7,4,2.6,1500,Online,18
Innovative Research,2023-10-30,41,26,25,7,2,,925,Online,15
Abacus Data,2023-10-15,40,24,24,7,5,3.7,700,Online,16
Pallas Data,2023-09-27,33.4,27.4,26.7,6.7,5.8,3.2,964,IVR,6
Angus Reid,2023-09-06,38,28,22,7,5,,656,Online,10
Abacus Data,2023-09-04,34,26,28,7,5,2.2,2003,Online,6
Pallas Data,2023-08-29,37.3,25.8,26.9,5.2,4.9,3.2,940,IVR,10.4
Abacus Data,2023-08-23,38,24,25,7,6,3.1,1040,Online,13
Abacus Data,2023-07-25,41,23,24,7,5,3.1,1000,Online,17
Mainstreet Research,2023-06-30,34.7,24.7,25,10.7,4.9,3.1,993,Smart IVR,9.7
Abacus Data,2023-06-11,36,26,27,6,4,3.1,1000,Online,9
Counsel Public Affairs,2023-06-08,39,23,27,7,4,,1323,Online,12
Angus Reid,2023-06-03,36,27,25,6,6,,653,Online,9
Angus Reid,2023-03-13,38,30,20,6,6,3.0,861,Online,8
Abacus Data,2023-03-04,41,22,28,5,4,3.1,1000,Online,13
Mainstreet Research,2023-02-04,36.8,19.4,23.3,11.2,9.4,2.9,1166,Smart IVR,13.5
Angus Reid,2022-12-03,37,27,25,6,5,3.0,1058,Online,10
Mainstreet Research,2022-12-02,37.3,25.9,24.4,6.6,5.8,2.9,1162,Smart IVR,11.4
Abacus Data,2022-11-05,38,26,27,5,5,3.1,1000,Online,11
EKOS,2022-06-20,37.5,23.3,19.2,9.8,10.2,2.7,1357,Online/Telephone,14.2
